laptop_name,brand_name,hard_disc_size,disc-tech,RAM,screen_size,CPU,price_in_₸
 Toshiba Dynabook R731/E,Toshiba,250,HDD,4,13.0,Core i3-2310M 2.1 ГГц,38900.0
 Toshiba Dynabook R731/E,Toshiba,250,HDD,4,13.0,Core i5-2520M 2.5 ГГц,46900.0
 Toshiba Dynabook R731,Toshiba,250,HDD,4,13.0,Core i3-2310M 2.1 ГГц,67500.0
 Toshiba Dynabook R731/B,Toshiba,250,HDD,4,13.0,Core i5-2520M 2.5 ГГц,78900.0
 Lenovo ThinkPad X260 256 SSD,Lenovo,256,SSD,16,12.5,Core i5-6300U 2.4 ГГц,79900.0
 Dell Latitude E7450,Dell,256,SSD,8,14.0,"Core I5-5300U - 2,3 ГГц",80900.0
 Toshiba Tecra Z40-A,Toshiba,128,SSD,4,14.0,Core i5-4200U 1.6 ГГц,82900.0
 Lenovo ThinkPad X1 Carbon,Lenovo,256,SSD,8,14.0,Core i7-4600U 2.1 ГГц,89900.0
 HP EliteBook 820 G3,HP,256,SSD,8,12.5,Core i5-6300U 2.4 ГГц,91900.0
 Lenovo ThinkPad Yoga 260,Lenovo,256,SSD,8,12.5,Core i7-6600U 2.6 ГГц,98900.0
 Toshiba Portege Z20t-C,Toshiba,256,SSD,8,12.0,Core m7-6Y75 1.2 ГГц,98900.0
 Dell Latitude E7270,Dell,128,SSD,8,12.0,Core i5-6300U 2.4 ГГц,100900.0
 Lenovo ThinkPad T460,Lenovo,256,SSD,8,14.0,Core i5-6300U 2.4 ГГц,105900.0
 Dell Latitude 3190,Dell,128,SSD,4,11.6,Pentium Silver N5000 1.1 ГГц,106200.0
 Dell Latitude 5280,Dell,256,SSD,8,12.0,Core i5-7300U 2.6 ГГц,107900.0
 Lenovo ThinkPad T440p,Lenovo,500,HDD,4,14.0,Core i5-4300M 2.6 ГГц,113900.0
 Lenovo ThinkPad X270,Lenovo,256,SSD,16,12.5,Core i5-6300U 2.4 ГГц (в режиме Turbo 2.8 ГГЦ),115900.0
 Lenovo ThinkPad T470,Lenovo,500,HDD,8,14.0,Core i5-6200U 2.3 ГГц,121900.0
 Fujitsu Lifebook T937,Fujitsu,512,SSD,16,13.3,Core i7-7600U 2.8 ГГц,128900.0
